inversion_id,tipo_instrumento,emisor,valor_nominal,valor_mercado,tasa_cupon,fecha_vencimiento,calificacion,sector
INV001,Gubernamental,SHCP,50000000,50250000,8.5,2034-12-01,AAA,Gobierno
INV002,Gubernamental,SHCP,75000000,75500000,9.0,2029-06-15,AAA,Gobierno
INV003,Corporativo,CEMEX,25000000,24800000,9.75,2028-03-20,BBB+,Construccion
INV004,Corporativo,FEMSA,30000000,30450000,8.25,2030-09-10,AA-,Consumo
INV005,Gubernamental,SHCP,100000000,101000000,7.75,2035-12-15,AAA,Gobierno
INV006,Corporativo,AMERICA_MOVIL,40000000,40200000,8.5,2027-11-05,A+,Telecomunicaciones
INV007,Corporativo,GRUPO_MEXICO,20000000,19850000,10.0,2026-04-20,BBB,Mineria
INV008,Gubernamental,SHCP,60000000,60750000,8.0,2032-08-01,AAA,Gobierno
INV009,Corporativo,WALMART_MEXICO,35000000,35500000,7.5,2029-01-15,AA,Retail
INV010,Corporativo,BANORTE,28000000,28100000,9.25,2028-07-10,A,Financiero
INV011,Gubernamental,SHCP,80000000,80600000,8.75,2033-03-20,AAA,Gobierno
INV012,Corporativo,PEMEX,45000000,43500000,10.5,2027-05-15,BBB-,Energia
INV013,Corporativo,ALFA,22000000,22150000,9.0,2030-10-01,BBB+,Industrial
INV014,Gubernamental,SHCP,55000000,55400000,8.25,2031-06-30,AAA,Gobierno
INV015,Corporativo,LIVERPOOL,18000000,18250000,8.75,2029-12-10,A-,Retail
